Mineral_name,Formula,Reference
Antimonselite,Sb₂ Se₃,"Caracas R., Gonze X., First-principles study of the electronic properties of A2B3 minerals, with A=Bi,Sb and B=S,Se Note: Hypothetical sulphosalt structure derived from density functional theory, Physics and Chemistry of Minerals, 32, 295–300 (2005)."
Penroseite,Ni Se₂,"Furuseth S., Kjekshus A., Andresen A. F., On the magnetic properties of CoSe2, NiS2, and NiSe2, Acta Chemica Scandinavica, 23, 2325–2334 (1969)."
Shuangfengite,Ir Te₂,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York Note: cadmium iodide structure, Crystal Structures, 1, 239–444 (1963)."
Chernovite-(Y),Y As O₄,"Strada M., Schwendimann G., La struttura cristallina di alcuni fosfati ed arseniati di metalli trivalenti. II. Arseniato e fosfato di ittrio, Gazzetta Chimica Italiana, 64, 662–674 (1934)."
Arsenoflorencite-(La),La Al₃ As₂ O₁₄ H₆,"Mills S. J., Kartashov P. M., Kampf A. R., Raudsepp M., Arsenoflorencite-(La), a new mineral from the Komi Republic, Russian Federation: description and crystal structure, European Journal of Mineralogy, 22, 613–621 (2010)."
Keiviite-(Yb),Yb₂ Si₂ O₇,"Smolin Y. I., Shepelev Y. F., The crystal structures of the rare earth pyrosilicates, Acta Crystallographica, Section B, 26, 484–492 (1970)."
Metavariscite,Al P O₆ H₄,"Kniep R., Mootz D., Metavariscite - A redetermination of its crystal structure, Acta Crystallographica, Section B, 29, 2292–2294 (1973)."
Scheelite,Ca W O₄,"Hazen R. M., Finger L. W., Mariathasan J. W. E., High-pressure crystal chemistry of scheelite-type tungstates and molybdates Note: P = 0.0001 GPa, in air, Journal of Physics and Chemistry of Solids, 46, 253–263 (1985)."
Miharaite,Pb Cu₄ Fe Bi S₆,"Petrova I. V., Pobedimskaya E. A., Bryzgalov I. A., Crystal structure of micharaite Cu4FePbBiS6, Doklady Akademii Nauk SSSR, 299, 123–127 (1988)."
Tornebohmite-(Ce),Ce₂ Si₂ Al O₉ H,"Shen J., Moore P. B., Tornebohmite, RE2Al(OH)[SiO4]2: Crystal structure and genealogy of RE(III)Si(IV) <---> Ca(II)P(V) isomorphisms, American Mineralogist, 67, 1021–1028 (1982)."
Murchisite,Cr₅ S₆,"Jellinek F., The structures of the chromium sulphides, Acta Crystallographica, 10, 620–628 (1957)."
Marshite,Cu I,"Cooper M. A., Hawthorne F. C., A note on the crystal structure of marshite Note: ZnS structure, sphalerite structure, The Canadian Mineralogist, 35, 785–786 (1997)."
Syngenite,K₂ Ca S₂ O₉ H₂,"Corazza E., Sabelli C., The crystal structure of syngenite, K2Ca(SO4)2*(H2O), Zeitschrift fur Kristallographie, 124, 398–408 (1967)."
Aktashite,Hg₃ Cu₆ As₄ S₁₂,"Kaplunik L. N., Pobedimskaya E. A., Belov N. V., Kristallicheskaya struktura aktashimita Cu6Hg3As4S12, Doklady Akademii Nauk SSSR, 251, 96–98 (1980)."
Lautite,Cu As S,"Craig D. C., Stephenson N. C., The crystal structure of lautite, CuAsS, Acta Crystallographica, 19, 543–547 (1965)."
Brushite,Ca P O₆ D₅,"Schofield P. F., Knight K. S., van der. Houwen. J. A. M., Valsami-Jones E., The role of hydrogen bonding in the thermal expansion and dehydration of brushite, di-calcium phosphate dihydrate Sample: T = 4.2 K, Physics and Chemistry of Minerals, 31, 606–624 (2004)."
Palermoite,Sr Li₂ Al₄ P₄ O₂₀ H₄,"Moore P. B., Araki T., Palermoite, SrLi2[Al4(OH)4(PO4)4]: Its atomic arrangement and relationship to carminite, Pb2[Fe4(OH)4(AsO4)4], American Mineralogist, 60, 460–465 (1975)."
Frankhawthorneite,Cu₂ Te O₆ H₂,"Grice J. D., Roberts A. C., Frankhawthorneite, a unique HCP framework structure of a cupric tellurate, The Canadian Mineralogist, 33, 649–653 (1995)."
Hetaerolite,Zn Mn₂ O₄,"Nogues M., Poix P., Effet Jahn-Teller cooperatif dans le systeme ZnMn2O4-Zn2SnO4, Annales de Chimie, 1972, 301–314 (1972)."
Clinobehoite,Be O₂ H₂,"Nadezhina T. N., Pushcharovsky D. Y., Rastsvetaeva R. K., Voloshin A. V., Burshtein I. F., Crystal structure of a new natural form of Be(OH)2, Soviet Physics Doklady, 34, 187–189 (1989)."
Lecontite,N H₈ Na S O₆,"Arzt S., Glazer A. M., The optical activity and absolute optical chirality of NaNH4SO4*2H2O, Acta Crystallographica, Section B, 50, 425–431 (1994)."
Pseudomarkeyite,Ca₈ U₄ C₁₂ O₆₅,"Kampf A. R., Olds T. A., Plasil J., Burns P. C., Marty J., Natromarkeyite and pseudomarkeyite, two new calcium uranyl carbonate minerals from the Markey mine, San Juan County, Utah, USA, Mineralogical Magazine, 84, 753–765 (2020)."
Francoisite-(Nd),Nd U₃ P₂ O₂₂,"Piret P., Deliens M., Piret-Meunier J., La francoisite-(Nd), nouveau phosphate d'uranyle et de terres rares; proprietes et structure cristalline, Bulletin de Mineralogie, 111, 443–449 (1988)."
Alamosite,Pb Si O₃,"Boucher M. L., Peacor D. R., The crystal structure of alamosite, PbSiO3, Zeitschrift fur Kristallographie, 126, 98–111 (1968)."
Nabimusaite,K Ca₁₂ Si₄ S₂ O₂₆ F,"Fayos J., Glasser F. P., Howie R. A., Lachowski E., Perez-Mendez M., Structure of dodecacalcium potassium fluoride dioxide tetrasilicate bis(sulphate), KF.2[Ca6(SO4)(SiO4)20]: a fluorine-containing phase encountered in cement clinker production process, Acta Crystallographica, Section C, 41, 814–816 (1985)."
Chursinite,Hg₃ As O₄,"Kamenar B., Kaitner B., The crystal structure of mercury(I) orthoarsenate, Acta Crystallographica, Section B, 29, 1666–1669 (1973)."
Suolunite,Ca Si O₄ H₂,"Ma Z., Shi N., Mou G., Liao L., Crystal structure refinement of suolunite and its significance to the cement techniques, Chinese Science Bulletin, 44, 2125–2130 (1999)."
Yttrialite-(Y),Y₂ Si₂ O₇,"Batalieva N. G., Pyatenko Yu. A., Artificial yttrialite (gamma-phase) - a representative of a new structure type in the rare earth diorthosilicate series, Kristallografiya, 16, 905–910 (1971)."
Flinteite,K₂ Zn Cl₄,"Mikhail I., Peters K., The structure of potassium tetrachlorozincate, Acta Crystallographica, Section B, 35, 1200–1201 (1979)."
Mounanaite,Pb Fe₂ V₂ (O₁₀ H₂),"Krause W., Belendorff K., Bernhardt H. J., McCammon C. A., Effenberger H., Mikenda W., Crystal chemistry of the tsumcorite-group minerals. New data on ferrilotharmeyerite, tsumcorite, thometzekite, mounanaite, helmutwinklerite, and a redefinition of gartrellite, European Journal of Mineralogy, 10, 179–206 (1998)."
Fluorite,Ca F₂,"Speziale S., Duffy T. S., Single-crystal elastic constants of fluorite (CaF2) to 9.3 GPa Sample: P = 0 GPa, Physics and Chemistry of Minerals, 29, 465–472 (2002)."
Eucryptite,Si Al Li O₄,"Pillars W. W., Peacor D. R., The crystal structure of beta eucryptite as a function of temperature T = 23C, American Mineralogist, 58, 681–690 (1973)."
Pyrargyrite,Sb Ag₃ S₃,"Hocart R., Schema structural de la proustite et de la pyrargyrite. _cod_database_code 1011214, Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences, 205, 68–70 (1937)."
Natanite,Fe Sn (O₆ H₆),"Strunz V. H., Contag B., Hexahydroxostannate Fe, Mn, Co, Mg, Ca[Sn(OH)6] und deren kristallstruktur, Acta Crystallographica, 13, 601–603 (1960)."
Gersdorffite,Ni As S,"Foecker A. J., Jeitschko W., The atomic order of the pnictogen and chalcogen atoms in equiatomic ternary compounds TPnCh (T = Ni, Pd; Pn = P, As, Sb; Ch = S, Se, Te), Journal of Solid State Chemistry, 162, 69–78 (2001)."
Gudmundite,Fe Sb S,"Buerger M. J., The crystal structure of gudmundite, American Mineralogist, 24, 183–184 (1939)."
Boracite,Mg₃ B₇ O₁₃ Cl,"Sueno S., Clark J. R., Papike J. J., Konnert J. A., Crystal-structure refinement of cubic boracite Note: This is a high-temperature phase of boracite T = 400 C, American Mineralogist, 58, 691–697 (1973)."
Kaolinite,Al₂ Si₂ O₉,"Gruner W., The crystal structure of kaolinite _cod_database_code 1011045, Zeitschrift fur Kristallographie, 83, 75–88 (1932)."
Uranosphaerite,U Bi O₅ H,"Hughes K. A., Burns P. C., Kolitsch U., Crystal structure and crystal chemistry of uranosphaerite, Bi(UO2)O2OH Note: natural sample, The Canadian Mineralogist, 41, 677–685 (2003)."
Carlinite,Tl₂ S,"Giester G., Lengauer C. L., Tillmanns E., Zemann J., Tl2S: Re-determination of crystal structure and stereochemical discussion, Journal of Solid State Chemistry, 168, 322–330 (2002)."
Linarite,Pb Cu S O₆ H₂,"Schofield P. F., Wilson C. C., Knight K. S., Kirk C. A., Proton location and hydrogen bonding in the hydrous lead copper sulfates linarite, PbCu(SO4)(OH)2, and caledonite, Pb5Cu2(SO4)3CO3(OH)6, The Canadian Mineralogist, 47, 649–662 (2009)."
Columbite-(Mg),Mg Nb₂ O₆,"Pagola S., Carbonio R. E., Alonso J. A., Fernandez-Diaz M. T., Crystal structure refinement of Mg Nb2 O6 columbite from neutron powder diffraction data and study of the ternary system MgO-Nb2O5-NbO, with evidence of formation of new reduced pseudobrookite Mg5-xNb4+xO15-d (1.14<x<1.60) phases Note: reported and calculated Biso(O2)'s do not match, Journal of Solid State Chemistry, 134, 76–84 (1997)."
Yttriaite-(Y),Y₂ O₃,"Fert A., Structure de quelques oxydes de terres rares, Bulletin de la Societe Francaise de Mineralogie et de Cristallographie, 85, 267–270 (1962)."
Oskarssonite,Al F₃,"Daniel P., Bulou A., Rousseau M., Nouet J., Fourquet J., Leblanc M., Burriel R., A study of the structural phase transitions in AlF3: X-ray powder diffraction, DSC and Raman scattering investigations of the lattice dynamics and phonon spectrum _cod_database_code 1000467, Journal of Physics: Condensed Matter, 2, 5663–5677 (1990)."
Ominelite,Al₃ Fe Si B O₉,"Hiroi Y., Grew E. S., Motoyoshi Y., Peacor D. R., Rouse R. C., Matsubara S., Yokoyama K., Miyawaki R., McGee J. J., Su S-C., Hokada T., Furukawa N., Shibasaki H., Ominelite, (Fe,Mg)Al3BSiO9 (Fe2+ analogue of grandidierite), a new mineral from porphyritic granite in Japan, American Mineralogist, 87, 160–170 (2002)."
Pyrostilpnite,Ag₃ Sb S₃,"Kutoglu A., Die struktur des pyrostilpnits (feuerblende) Ag3SbS3, Neues Jahrbuch fur Mineralogie, Monatshefte, 1968, 145–160 (1968)."
Shomiokite-(Y),Y Na₃ C₃ O₁₂,"Grice J. D., The crystal structure of shomiokite-(Y), The Canadian Mineralogist, 34, 649–655 (1996)."
Hurlbutite,Ca P₂ Be₂ O₈,"Lindbloom J. T., Gibbs G. V., Ribbe P. H., The crystal structure of hurlbutite: A comparison with danburite and anorthite, American Mineralogist, 59, 1267–1271 (1974)."
Perovskite,Ca Ti O₃,"Yamanaka T., Hirai M., Komatsu Y., Structure change of Ca1-xSrxTiO3 perovskite with composition and pressure Sample: CaTiO3, x = 0.0, American Mineralogist, 87, 1183–1189 (2002)."
Rouaite,Cu₂ N O₆ H₃,"Effenberger H., Verfeinerung der kristallstruktur des monoklinen dikupfer(II)-trihydroxi-nitrates Cu2(NO3)(OH)3, Zeitschrift fur Kristallographie, 165, 127–135 (1983)."
Benavidesite,Pb₄ Sb₆ Mn S₁₄,"Leone P., Le Leuch. L. M., Palvadeau P., Molinie P., Moelo Y., Single crystal structures and magnetic properties of two iron or manganese-lead-antimony sulfides: MPb4Sb6S14 (M: Fe, Mn) Loclaity: synthetic, Solid State Sciences, 5, 771–776 (2003)."
Lacroixite,Na Al F P O₄,"Lahti S. I., Pajunen A., New data on lacroixite, NaAlFPO4, American Mineralogist, 70, 849–855 (1985)."
Rodalquilarite,Fe₂ Te₄ O₁₂ Cl,"Dusausoy Y., Protas J., Determination et etude de la structure cristalline de la rodalquilarite, chlorotellurite acide de fer, Acta Crystallographica, Section B, 25, 1551–1558 (1969)."
Antlerite,Cu₃ S O₈ H₄,"Hawthorne F. C., Groat L. A., Eby R. K., Antlerite, Cu3SO4(OH)4, a heteropolyhedral wallpaper structure, The Canadian Mineralogist, 27, 205–209 (1989)."
Anthophyllite,Mg₇ Si₈ O₂₄,"Warren B., Modell D., The structure of Anthophyllite H2 Mg7 (Si O3)8 _cod_database_code 1010935, Zeitschrift fur Kristallographie, 75, 161–179 (1930)."
Housleyite,Pb₆ Cu Te₄ O₂₀ H₂,"Kampf A. R., Marty J., Thorne B., Lead-tellurium oxysalts from Otto Mountain near Baker, California: II. Housleyite, Pb6CuTe4O18(OH)2, a new mineral with Cu-Te octahedral sheets, American Mineralogist, 95, 1337–1342 (2010)."
Billietite,U₆ Ba O₂₃,"Pagoaga M. K., Appleman D. E., Stewart J. M., Crystal structures and crystal chemistry of the uranyl oxide hydrates becquerelite, billietite, and protasite Note: y-coordinate of O601u atom changed to make calculated bond lengths match those published, American Mineralogist, 72, 1230–1238 (1987)."
Tavorite,Li Fe P O₅ H,"Marx N., Croguennec L., Carlier D., Wattiaux A., Le Cras. F., Suard E., Delmas C., The structure of tavorite LiFePO4(OH) from diffraction and GGA + U studies and its preliminary electrochemical characterization, Dalton Transactions, 39, 5108–5116 (2010)."
Westerveldite,Fe As,"Lyman P. S., Prewitt C. T., Room- and high-pressure crystal chemistry of CoAs and FeAs Note: anisoB's taken from ICSD Sample: Pna2_1 refinement, P = .0001 GPa, Acta Crystallographica, Section B, 40, 14–20 (1984)."
Koechlinite,Bi₂ Mo O₆,"Teller R. G., Brazdil J. F., Grasselli R. K., Jorgensen J. D., The structure of gamma-bismuth molybdate, Bi2MoO6, by powder neutron diffraction, Acta Crystallographica, Section C, 40, 2001–2005 (1984)."
Larsenite,Pb Zn Si O₄,"Prewitt C. T., Kirchner E., Preisinger A., Crystal structure of larsenite PbZnSiO4, Zeitschrift fur Kristallographie, 124, 115–130 (1967)."
Stetefeldite,Ag Sb O₃,"Schrewelius N., Roentgenuntersuchung der Verbindungen Na Sb (O H)6, Na Sb F6, Na Sb O3 und gleichartiger Stoffe _cod_database_code 1011279, Zeitschrift fur Anorganische und Allgemeine Chemie, 238, 241–254 (1938)."
Hydrohalloysite-10A,Al₂ Si₂ (O₁₁ H₈),"Mehmel M., Uber die Struktur von Halloysit und Metahalloysit Note: coordinates have been adjusted, Zeitschrift fur Kristallographie, 90, 35–43 (1935)."
Chantalite,Ca Al₂ Si O₈ H₄,"Liebich B. W., Sarp H., Parthe E., The crystal structure of chantalite, CaAl2(OH)4SiO4 southwest Turkey, Zeitschrift fur Kristallographie, 150, 53–63 (1979)."
Denningite,Mn Te₂ O₅,"Miletich R., Copper-substituted manganese-denningites, Mn(Mn1-xCux)(Te2O5)2(0<=x<=1): synthesis and crystal chemistry Sample: x = 0.0, Mineralogy and Petrology, 48, 129–145 (1993)."
Vermiculite,Mg₃ Si₄ (O₁₂ H₂),"Gruner J. W., The structures of vermiculites and their collapse by dehydration, American Mineralogist, 19, 557–575 (1934)."
Posnjakite,Cu₄ S O₁₁ H₈,"Mellini M., Merlino S., Posnjakite: [Cu4(OH)6(H2O)O] octahedral sheets in its structure, Zeitschrift fur Kristallographie, 149, 249–257 (1979)."
Chesnokovite,Na₂ Si O₁₂ H₁₈,"Pekova I. V., Chukanov N. V., Zadov A. E., Zubkova N. V., Pushcharovsky D. Yu., Chesnokovite, Na2[SiO2(OH)2]*8H2O, the first natural sodium orthosilicate from the Lovozero alkaline pluton, Kola Peninsula: Description and crystal structure of a new mineral species, Geology of Ore Deposits, 49, 727–738 (2007)."
Paranatisite,Ti₃ Si₂ Na₄ O₁₀,"Sokolova E. V., Hawthorne F. C., Reconsideration of the crystal structure of paranatisite and the crystal chemistry of [M2T2_12] sheets, The Canadian Mineralogist, 40, 947–960 (2002)."
Proustite,As Ag₃ S₃,"Hocart R., Schema structural de la proustite et de la pyrargyrite. _cod_database_code 1011213, Comptes Rendus Hebdomadaires des Seances de l'Academie des Sciences, 205, 68–70 (1937)."
Chlorothionite,Cu K₂ Cl₂ S O₄,"Giacovazzo C., Scandale E., Scordari F., The crystal structure of chlorotionite, CuK2Cl2SO4, Zeitschrift fur Kristallographie, 144, 226–237 (1976)."
Xenotime-(Tb),Tb P O₄,"Ni Y., Hughes J. M., Mariano A. N., Crystal chemistry of the monazite and xenotime structures, American Mineralogist, 80, 21–26 (1995)."
Thaumasite,Ca₃ Si C S O₂₅ H₃₀,"Gatta G. D., McIntyre G. J., Swanson J. G., Jacobsen S. D., Minerals in cement chemistry: A single-crystal neutron diffraction and Raman spectroscopic study of thaumasite, Ca3Si(OH)6(CO3)(SO4)*12H2O Note: T = 301 K, American Mineralogist, 97, 1060–1069 (2012)."
Cuprite,Cu₂ O,"Hafner S. S., Nagel S., The electric field gradient at the position of copper in Cu2O and electronic charge density analysis by means of K-factors, Physics and Chemistry of Minerals, 9, 19–22 (1983)."
Hessite,Ag₂ Te,"Schneider J., Schulz H., X-ray powder diffraction of Ag2Te at temperatures up to 1123 K Note: T = 297 K, Zeitschrift fur Kristallographie, 203, 1–15 (1993)."
Praseodymium,Pr,"Spedding F. H., Daane A. H., Herrmann K. W., The crystal structures and lattice parameters of high-purity scandium, yttrium and the rare earth metals Note: sample 99.9% pure, Acta Crystallographica, 9, 559–563 (1956)."
Matildite,Ag Bi S₂,"Geller S., Wernick J. H., Ternary semiconducting compounds with sodium chloride-like structure: AgSbSe2, AgSbTe2, AgBiS2, AgBiSe2 Sample: after annealing at 152 deg C for 15 days, Acta Crystallographica, 12, 46–54 (1959)."
Magnesite,Mg C O₃,"Graf D. L., Crystallographic tables for the rhombohedral carbonates, American Mineralogist, 46, 1283–1316 (1961)."
Barytocalcite,Ba Ca C₂ O₆,"Alm K. F., The crystal structure of barytocalcite BaCa(CO3)2, Arkiv for Mineralogi och Geologi, 2, 399–410 (1960)."
Herzenbergite,Sn S,"Hofmann W., Ergebnisse der Strukturbestimmung komplexer Sulfide. I: SnS und PbSnS2 _cod_database_code 1011253, Zeitschrift fur Kristallographie, 92, 161–173 (1935)."
Atelestite,Bi₂ As O₆ H,"Mereiter K., Preisinger A., Kristallstrukturdaten der wismutminerale atelestit, mixit und pucherit, Anzeiger der Osterreichische Akademie der Wissenschaften, 123, 79–81 (1986)."
Pasavaite,Pb₂ Te₂ Pd₃,"Vymazalova A., Laufek F., Drabek M., Haloda J., Sidorinova T., Pasavaite, Pd3Pb2Te2, a new platinum-group mineral species from the Noril'sk-Talnakh Ni-Cu Camp, Russia, The Canadian Mineralogist, 47, 53–62 (2009)."
Acetamide,C₂ O N H₅,"Denne W. A., Small R. W. H., A refinement of the structure of rhombohedral acetamide, Acta Crystallographica, Section B, 27, 1094–1098 (1971)."
Paganoite,Ni Bi As O₅,"Roberts A. C., Burns P. C., Gault R. A., Criddle A. J., Feinglos M. N., Stirling J. A. R., Paganoite, NiBiAsO5, a new mineral from Johanngeorgenstadt, Saxony, Germany: description and crystal structure, European Journal of Mineralogy, 13, 167–175 (2001)."
Stangersite,Sn Ge S₃,"Sejkora J., Berlepsch P., Makovicky E., Balic-Zunic T., Natural SnGeS3 from Radvanice near Trutnov (Czech Republic): its description, crystal structure refinement and solid solution with PbGeS3, European Journal of Mineralogy, 13, 791–800 (2001)."
Sellaite,Mg F₂,"Baur W. H., Uber die verfeinerung der kristallstrukturbestimmung einiger vertreter des rutiltyps: TiO2, SnO2, GeO2 und MgF2, Acta Crystallographica, 9, 515–520 (1956)."
Lorenzenite,Na₂ Ti₂ Si₂ O₉,"Sundberg M. R., Lehtinen M., Kivekas R., Refinement of the crystal structure of ramsayite (lorenzenite), American Mineralogist, 72, 173–177 (1987)."
Clinocervantite,Sb O₂,"Basso R., Lucchetti G., Zefiro L., Palenzona A., Clinocervantite, B-Sb2O4, the natural monoclinic polymorph of cervantite from the Cetine mine, Siena, Italy Note: z-coordinate to O2 altered by communications with R Basso, April, 2003, European Journal of Mineralogy, 11, 95–100 (1999)."
Vuagnatite,Ca Al Si O₅ H,"McNear E., Vincent M. G., Parthe E., The crystal structure of vuagnatite, CaAl(OH)SiO4, American Mineralogist, 61, 831–838 (1976)."
Paraguanajuatite,Bi₂ Se₃,"Nakajima S., The crystal structure of Bi2Te3-xSex, Journal of Physics and Chemistry of Solids, 24, 479–485 (1963)."
Trimerite,Ca Mn₂ Be₃ Si₃ O₁₂,"Klaska K. H., Jarchow O., Die Bestimmung der kristallstruktur von trimerit CaMn2(BeSiO4)3 und das trimeritgesetz der verzwillingung, Zeitschrift fur Kristallographie, 145, 46–65 (1977)."
Protoenstatite,O₃ Si Mg,"Jahn S., Martonak R., Phase behavior of protoenstatite at high pressure studied by atomistic simulations, American Mineralogist, 94, 950–956 (2009)."
Clerite,Mn Sb₂ S₄,"Bente K., Edenharter A., Rontgenographische strukturanalyse von MnSb2S4 und strukturverfeinerung von berthierit, FeSb2S4, Zeitschrift fur Kristallographie, 185, 31–33 (1989)."
Calcium-gamma,Ca,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York Sample at T = 773 K Body centered cubic, bcc, structure, Crystal Structures, 1, 7–83 (1963)."
Jolliffeite,Ni As Se,"Foecker A. J., Jeitschko W., The atomic order of the pnictogen and chalcogen atoms in equiatomic ternary compounds TPnCh (T = Ni, Pd; Pn = P, As, Sb; Ch = S, Se, Te), Journal of Solid State Chemistry, 162, 69–78 (2001)."
Haggite,V₂ O₅,"Evans H. T., Mrose M. E., A crystal chemical study of the vanadium oxide minerals, haggite and doloresite, American Mineralogist, 45, 1144–1166 (1960)."
Guildite,Fe Cu S₂ H₄ O₁₃,"Wan C., Ghose S., Rossman G. R., Guildite, a layer structure with a ferric hydroxy-sulphate chain and its optical absorption spectra Note: OW2 y-coordinate changed in order to reproduce OW2 bond lengths Note: O6 z-coordinated change from .433 to .0433 to ensure SO4 group, American Mineralogist, 63, 478–483 (1978)."
Vasilite,Pd₁₆ S₇,"Matkovic P., El Boragy. M., Schubert K., Kristallstruktur von Pd16S7, Journal of the Less-Common Metals, 50, 165–176 (1976)."
Bismite,Bi₂ O₃,"Malmros G., The crystal structure of alpha-Bi2O3, Acta Chemica Scandinavica, 24, 384–396 (1970)."
Parsonsite,U Pb₂ P₂ O₁₀,"Burns P. C., A new uranyl phosphate chain in the structure of parsonsite, American Mineralogist, 85, 801–805 (2000)."
Semseyite,Pb₉ Sb₈ S₂₁,"Kohatsu J. J., Wuensch B. J., Semseyite (Pb9Sb8S21) and the crystal chemistry of the plagionite group, Pb3+2nSb8S15+2n Note: structure from ICSD, American Mineralogist, 59, 1127–1127 (1974)."
Phase-B-anhydrous,Si₅ Mg₁₄ O₂₄,"Finger L. W., Hazen R. M., Prewitt C. T., Crystal structures of Mg12Si4O19(OH)2 (phase B) and Mg14Si5O24 (phase AnhB), American Mineralogist, 76, 1–7 (1991)."
Ussingite,Al Si₃ Na₂ H O₉,"Rossi G., Tazzoli V., Ungaretti L., The crystal structure of ussingite, American Mineralogist, 59, 335–340 (1974)."
Antimony,Sb,"Schiferl D., Cromer D. T., Jamieson J. C., Structure determinations on Sb up to 85 x 10^2 MPa Sample: at P = 6.3 GPa Note: known as the A7 rhombohedral-type structure, Acta Crystallographica, Section B, 37, 807–810 (1981)."
Mozartite,Ca Mn Si H O₅,"Nyfeler D., Hoffmann C., Armbruster T., Kunz M., Libowitzky E., Orthorhombic Jahn-Teller distortion and Si-OH in mozartite, CaMnO[SiO3OH]: A single-crystal X-ray, FTIR, and structure modeling study Sample: at T = 100 K, American Mineralogist, 82, 841–848 (1997)."
Lisiguangite,Bi Pt Cu S₃,"Yu Z., Cheng F., Ma H., Lisiguangite, CuPtBiS3, a new platinum-group mineral from the Yanshan Mountains, Hebei, China, Acta Geologica Sinica, 83, 238–244 (2009)."
Stenonite,Sr₂ Al C F₅ O₃,"Hawthorne F. C., The crystal structure of stenonite and the classification of the aluminofluoride minerals, The Canadian Mineralogist, 22, 245–251 (1984)."
Cobaltite,Co As S,"Giese R. F., Kerr P. F., The crystal structures of ordered and disordered cobaltite ordered, annealed after heating in a vacuum at 450 C, American Mineralogist, 50, 1002–1014 (1965)."
Painite,Zr Ca Al₉ B O₁₈,"Moore P. B., Araki T., Painite, CaZrB[Al9O18]: Its crystal structure and relation to jeremejevite, B5[X3Al6(OH)3O15], and fluoborite, B3[Mg9(F,OH)9O9], American Mineralogist, 61, 88–94 (1976)."
Aubertite,Cu Al S₂ O₂₂ Cl H₂₈,"Ginderow D., Cesbron F., Structure cristalline de l'aubertite, AlCuCl(SO4)2*14H2O Note: anisotropic displacement parameters obtained from ICSD, Acta Crystallographica, Section B, 35, 2499–2502 (1979)."
Javorieite,K Fe Cl₃,"Amit A., Horowitz A., Makovsky J., Preparation and crystal structure of KFeCl3 and KFeBr3, Israel Journal of Chemistry, 12, 827–830 (1974)."
Macphersonite,Pb₄ S (O₁₂ C₂) H₂,"Steele I. M., Pluth J. J., Livingstone A., Crystal structure of macphersonite (Pb4SO4(CO3)2(OH)2): comparison with leadhillite Note: space group changed from Pcab to Pbca, Mineralogical Magazine, 62, 451–459 (1998)."
Nontronite,Fe Si₂ O₆ H,"Dainyak L. G., Zviagina B. B., Rusakov V. S., Drits V. A., Interpretation of the nontonite-dehydroxylate Mossbauer spectrum using EFG calculations Sample: tv structure, European Journal of Mineralogy, 18, 753–764 (2006)."
Neptunium-gamma,Np,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York Sample at T = 873 K Body centered cubic, bcc, structure, Crystal Structures, 1, 7–83 (1963)."
Schaurteite,Ca₃ Ge S₂ O₁₇ H₁₂,"Origlieri M. J., Downs R. T., Schaurteite, Ca3Ge(SO4)2(OH)6*3H2O, Acta Crystallographica, Section E, 69, i6–i6 (2013)."
Christite,Tl Hg As S₃,"Brown K. L., Dickson F. W., The crystal structure of synthetic christite, HgTlAsS3, Zeitschrift fur Kristallographie, 144, 367–376 (1976)."
Weberite,Na₂ Mg Al F₇,"Knop O., Cameron T. S., Jochem K., What is the true space group of weberite? Sample: Imma refinement, T = ambient, Journal of Solid State Chemistry, 43, 213–221 (1982)."
Xieite,Fe Cr₂ O₄,"Ishii T., Kojitani H., Tsukamoto S., Fujino K., Mori D., Inaguma Y., Tsujino N., Yoshino T., Yamazaki D., Higo Y., Funakoshi K., Akaogi M., High-pressure phase transitions in FeCr2O4 and structure analysis of new post- spinel FeCr2O4 and Fe2Cr2O5 phases with meteoritical and petrological implications, American Mineralogist, 99, 1788–1797 (2014)."
Chalcanthite,Cu S O₉ H₁₀,"Bacon G. E., Titterton D. H., Neutron-diffraction studies of CuSO4*5(H2O) and CuSO4*5(D2O), Zeitschrift fur Kristallographie, 141, 330–341 (1975)."
Iron-alpha,Fe,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York Sample at T = 298 K Body centered cubic, bcc, structure, Crystal Structures, 1, 7–83 (1963)."
Nierite,Si₃ N₄,"Yang P., Fun H-K., Rahman I. A., Saleh M. I., Two phase refinements of the structures of a-Si3N4 and B-Si3N4 made from rice husk by Rietveld analysis Sample: Alpha phase Note: changed N4 location to match reported bond distances, Ceramics International, 21, 137–142 (1995)."
Ravatite,C₇,"Petricek V., Cisarova I., Hummel L., Kroupa J., Brezina B., Oriental disorder in phenanthrene. Structure determination at 248, 295, 339 and 344 K, Acta Crystallographica, Section B, 46, 830–832 (1990)."
Ramsdellite,Mn O₂,"Post J. E., Heaney P. J., Neutron and synchrotron X-ray diffraction study of the structures and dehydration behaviors of ramsdellite and ""groutellite"", American Mineralogist, 89, 969–975 (2004)."
Stibarsen,As Sb,"Bayliss P., Crystal chemistry and crystallography of some minerals in the tetradymite group, American Mineralogist, 76, 257–265 (1991)."
Wurtzite-15R,Zn₅ S₅,"Frondel C., Palache C., Three new polymorphs of zinc sulfide, Science, 107, 602–602 (1948)."
